Time,Actual_CWND,Predicted_CWND
16,2.1025e+06,2.24381e+06
17,2.11842e+06,2.05882e+06
18,2.13146e+06,2.68982e+06
19,2.14304e+06,2.68367e+06
20,2.15173e+06,3.14533e+06
