Host,Status,IP Address,Min (ms),Max (ms),Avg (ms),Error Detail
96.45.41.167,Ok,96.45.41.167,103.554135,104.851388,103.934142,
96.45.42.156,Ok,96.45.42.156,91.049248,94.452506,91.813133,
96.45.43.6,Ok,96.45.43.6,18.076986,18.613226,18.355603,
96.45.44.87,Ok,96.45.44.87,199.158244,229.824268,201.485183,
a110.speedtest.wobcom.de,Err,,,,,Timeout { seq: PingSequence(0)}
a204.speedtest.wobcom.de,Ok,62.176.247.4,92.661943,110.248038,102.958051,
a205.speedtest.wobcom.de,Ok,62.176.246.197,106.713737,128.201819,116.864972,
a208.speedtest.wobcom.de,Err,,,,,Timeout { seq: PingSequence(0)}
a209.speedtest.wobcom.de,Ok,62.176.246.73,107.090741,112.637422,107.378551,
a210.speedtest.wobcom.de,Ok,62.176.246.8,100.430378,100.950641,100.647124,
a400.speedtest.wobcom.de,Ok,62.176.246.171,106.967325,116.327618,107.530226,
akl.linetest.nz,Ok,101.98.9.197,179.866816,265.73771,202.834879,
ams.speedtest.clouvider.net,Ok,194.127.172.176,92.644781,111.850952,102.790363,
as21723.goco.ca,Ok,74.49.158.20,38.423812,39.590904,38.626346,
ash.speedtest.clouvider.net,Ok,45.250.25.133,19.806992,20.405714,20.044956,
atl.speedtest.clouvider.net,Ok,92.119.16.139,18.944635,20.486009,19.218736,
chch.linetest.nz,Ok,101.98.9.201,192.037457,192.399846,192.168367,
dal.speedtest.clouvider.net,Ok,2.56.188.136,27.347392,28.762996,27.570933,
dfw.speedtest.is.cc,Ok,157.250.201.61,41.379292,42.510152,41.604293,
fra.speedtest.clouvider.net,Err,,,,,Timeout { seq: PingSequence(0)}
iperf-ams-nl.eranium.net,Ok,217.18.95.142,95.248517,114.69432,106.064026,
iperf.as42831.net,Ok,31.132.7.130,87.52603,88.291235,87.794254,
iperf.online.net,Ok,51.158.1.21,92.693248,94.282213,92.886767,
iperf.scbd.net.id,Ok,115.85.65.8,206.236991,210.128898,206.443483,
iperf3.moji.fr,Ok,45.147.210.189,95.690187,96.758727,95.837797,
it1.speedtest.aruba.it,Ok,31.14.130.68,117.227465,120.718238,117.473276,
la.speedtest.clouvider.net,Ok,77.247.126.223,57.444543,57.809616,57.571396,
lg.ams-nl.terrahost.com,Ok,45.88.200.26,113.539475,114.10363,113.746203,
lg.gigahost.no,Ok,185.125.168.212,110.32207,128.083957,120.353864,
lg.terrahost.com,Ok,185.125.168.212,110.073878,128.674077,119.971125,
lg.vie.alwyzon.net,Ok,86.106.182.189,111.150131,146.371578,118.754877,
lisboa.speedtest.net.zon.pt,Err,,,,,Timeout { seq: PingSequence(0)}
lon.speedtest.clouvider.net,Err,,,,,Timeout { seq: PingSequence(0)}
nyc.speedtest.clouvider.net,Ok,194.33.45.192,22.131899,22.652741,22.267853,
ping-90ms.online.net,Ok,51.158.1.19,182.640327,183.728386,182.853202,
ping-ams1.online.net,Ok,163.172.208.7,96.328458,96.813595,96.474298,
ping.online.net,Ok,51.158.1.21,92.672197,93.193684,92.862357,
porto.speedtest.net.zon.pt,Err,,,,,Timeout { seq: PingSequence(0)}
scaleway.testdebit.info,Ok,62.210.156.7,93.186572,94.032515,93.384258,
sgp.proof.ovh.net,Ok,15.235.182.181,208.563449,213.012826,209.254749,
spd-desrv.hostkey.com,Ok,185.84.224.68,101.442996,104.349205,101.944116,
spd-fisrv.hostkey.com,Ok,212.237.217.41,115.590583,116.467518,115.919805,
spd-icsrv.hostkey.com,Ok,195.162.68.38,124.283256,126.05299,124.521124,
spd-uswb.hostkey.com,Ok,139.60.160.88,22.552425,23.202636,22.920415,
speed.mymanga.pro,Ok,102.215.35.132,220.878933,300.152335,221.89476,
speed.netfiber.net.il,Err,,,,,Timeout { seq: PingSequence(0)}
speed.rimon.net.il,Err,,,,,Timeout { seq: PingSequence(0)}
speed1.fiberby.dk,Ok,193.106.164.10,103.988911,105.088412,104.253942,
speed2.fiberby.dk,Ok,193.106.166.153,103.949521,109.55851,104.285627,
speedtest-ams-nl.as215248.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.ams1.nl.leaseweb.net,Ok,95.211.20.80,101.934921,102.858412,102.121787,
speedtest.ams1.novogara.net,Ok,185.216.141.19,94.538029,114.197345,106.53194,
speedtest.ams2.nl.leaseweb.net,Ok,178.162.166.76,95.049015,95.785548,95.286981,
speedtest.awbb.net,Ok,104.245.79.230,37.118677,47.011808,44.11008,
speedtest.chi11.us.leaseweb.net,Ok,23.19.208.9,7.534697,8.343133,7.701299,
speedtest.dal13.us.leaseweb.net,Ok,209.58.159.68,25.4546,26.157145,25.724553,
speedtest.fra1.de.leaseweb.net,Ok,178.162.226.176,106.898135,107.95395,107.333574,
speedtest.hiper.dk,Ok,185.118.248.162,120.014903,121.123564,120.192918,
speedtest.hkg12.hk.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.init7.net,Ok,82.197.188.129,105.530069,105.973842,105.69813,
speedtest.ip-projects.de,Ok,185.245.99.75,101.504268,112.63838,101.840666,
speedtest.iway.ch,Ok,95.143.54.63,107.038282,107.898763,107.364405,
speedtest.kamel.network,Ok,93.177.80.27,106.660425,107.089778,106.815368,
speedtest.keff.org,Ok,45.154.255.51,112.312939,116.450258,112.593191,
speedtest.lagoon.nc,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.lax12.us.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.lon1.uk.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.lon12.uk.leaseweb.net,Ok,81.17.61.145,94.054528,94.666199,94.319767,
speedtest.lu.buyvm.net,Ok,104.244.76.191,105.614663,106.376088,105.755368,
speedtest.masnet.ec,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.mia11.us.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.mtl2.ca.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.netone.nl,Ok,195.95.177.10,148.387874,166.370103,159.328619,
speedtest.nl1.mirhosting.net,Ok,185.15.210.116,93.316114,110.923399,102.878213,
speedtest.nocix.net,Ok,208.110.65.2,12.786906,13.438045,12.98834,
speedtest.nyc1.us.leaseweb.net,Ok,108.62.52.129,23.571745,24.22807,23.802014,
speedtest.phx1.us.leaseweb.net,Ok,23.81.207.31,44.660584,45.309707,44.925492,
speedtest.sao1.edgoo.net,Ok,146.19.95.34,177.131149,179.156927,177.47664,
speedtest.sea11.us.leaseweb.net,Ok,23.82.193.66,55.053141,56.053048,55.277303,
speedtest.sfo12.us.leaseweb.net,Ok,23.81.166.99,52.181543,59.231493,52.456886,
speedtest.shinternet.ch,Ok,88.213.191.212,103.068063,103.603253,103.225668,
speedtest.sin1.sg.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.singnet.com.sg,Ok,165.21.70.1,213.369753,214.121496,213.532763,
speedtest.syd12.au.leaseweb.net,Ok,23.106.244.70,185.805866,196.171832,186.270538,
speedtest.telecom.mu,Ok,202.123.3.108,336.507555,481.430036,339.346613,
speedtest.tyo11.jp.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.uztelecom.uz,Ok,195.69.189.215,187.747282,188.807505,187.933918,
speedtest.wdc2.us.leaseweb.net,Ok,23.105.9.80,24.429451,25.179243,24.666642,
speedtest.wobcom.de,Ok,62.176.224.217,92.558902,110.641402,102.463612,
speedtest.wtnet.de,Ok,213.209.106.95,103.865777,104.92927,104.094632,
speedtest.xmission.com,Ok,198.60.22.18,36.805743,80.652524,39.637409,
speedtest1.cwpanama.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest1.flowjamaica.com,Ok,69.79.207.214,54.711889,63.674096,61.805584,
speedtest1.sox.rs,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest120.dal1.tx.hostedbackbone.net,Ok,64.112.186.242,23.687223,103.954558,44.374101,
speedtest15.suddenlink.net,Ok,146.112.61.104,5.666179,6.977709,5.849321,
speedtest2.comvergence.com.au,Ok,103.31.113.244,201.820189,231.35651,203.355798,
speedtest2.lightningfibre.net.uk,Ok,194.24.162.86,87.672687,113.516984,98.959862,
speedtest6.cwpanama.net,Ok,201.225.207.3,69.332802,70.337042,69.549004,
speedtestfl.telecom.mu,Ok,197.227.12.18,338.507031,338.995631,338.678491,
syd.proof.ovh.net,Ok,51.161.209.134,286.898838,289.861045,287.94466,
t5.cscs.ch,Ok,148.187.129.10,102.582975,103.022594,102.777967,
yyc-speedtest.xplore.ca,Ok,69.168.185.43,39.26006,39.793251,39.464124,
