address,min_ms,max_ms,avg_ms,latitudes,longitudes,distance_km
69.48.238.200,202.190836,350.687701,204.253245,25.0734,55.2979,11748.107724083447
69.48.239.124,238.062154,398.480817,260.771017,-26.2309,28.0583,13910.475878194855
79.127.209.1,148.860074,149.350853,148.99047,-33.4521,-70.6536,8385.451984267997
84.17.41.11,54.098179,54.691613,54.28423,47.6109,-122.3303,2912.6530509113
84.17.57.129,195.078717,200.276463,195.308109,22.3193,114.169,12701.966630115032
84.17.59.129,158.864947,160.718535,159.344968,45.4722,9.1922,7346.053522711797
85.163.71.241,112.734202,130.313936,122.770506,49.1953,16.6016,7559.780736543829
86.96.154.106,239.318705,240.284261,239.54977,25.0734,55.2979,11748.107724083447
87.249.137.8,102.257533,102.732107,102.42244,53.3382,-6.2591,5954.088163705099
89.187.160.1,145.448149,145.95261,145.644635,35.6893,139.6899,10301.268286061477
89.187.162.1,195.525952,196.153513,195.6882,1.35208,103.82,15240.919325098128
89.187.164.1,27.445515,30.248392,28.432478,32.7797,-96.8022,1225.3954183727328
89.187.165.1,118.224636,118.775993,118.416413,47.3643,8.5437,7188.2528181052885
96.45.38.22,205.718633,206.845199,205.956324,1.35208,103.82,15240.919325098128
96.45.39.38,101.975183,102.96014,102.327525,50.1169,8.6837,7032.353648569919
96.45.40.45,91.230353,112.313851,102.047204,51.5164,-0.093,6418.070312640628
96.45.41.167,103.554135,104.851388,103.934142,43.6319,7.0043,7316.220540420813
96.45.42.156,91.049248,94.452506,91.813133,48.8558,2.3494,6708.746527973812
96.45.43.6,18.076986,18.613226,18.355603,43.709,-79.4057,717.8547440731588
96.45.44.87,199.158244,229.824268,201.485183,-33.8672,151.1997,14905.469638507217
62.176.247.4,92.661943,110.248038,102.958051,52.4041,10.7532,7019.047530846503
62.176.246.197,106.713737,128.201819,116.864972,52.4041,10.7532,7019.047530846503
62.176.246.73,107.090741,112.637422,107.378551,52.4041,10.7532,7019.047530846503
62.176.246.8,100.430378,100.950641,100.647124,52.4041,10.7532,7019.047530846503
62.176.246.171,106.967325,116.327618,107.530226,52.4041,10.7532,7019.047530846503
