Time,Actual_CWND,Predicted_CWND
92,337284,1
93,345612,1
94,353940,1
95,359492,1
96,365044,1
97,371984,1
98,376148,1
99,380312,1
100,383088,1
101,385864,1
102,388640,1
103,391416,1
104,392804,1
105,394192,1
106,395580,1
107,395580,1
108,395580,1
109,396968,1
110,396968,1
111,396968,1
112,396968,1
113,396968,1
114,396968,1
