Time,Actual_CWND,Predicted_CWND
82,668976,697496
83,668976,721398
84,668976,737673
85,668976,744824
86,670424,776547
87,670424,810911
88,671872,845257
89,673320,868503
90,674768,897575
91,676216,898593
92,679112,897761
93,682008,923356
94,686352,976581
95,690696,996526
96,696488,1.0151e+06
97,702280,1.02879e+06
98,709520,1.05049e+06
99,716760,1.07982e+06
100,726896,1.09466e+06
101,737032,1.1068e+06
102,745720,1.11265e+06
