Time,Actual_CWND,Predicted_CWND
84,337384,349524
85,338832,353853
86,340280,365631
87,340280,401630
88,341728,409609
89,341728,427717
90,341728,435586
91,341728,456390
92,341728,449559
93,341728,455314
94,341728,440894
95,343176,440743
96,343176,437401
97,343176,440642
98,343176,434493
99,346072,434369
100,351864,421534
101,357656,421733
102,363448,406936
103,369240,411453
104,375032,389955
105,379376,395816
